id,kills,kd,dmg,deaths,hsPct
127364889490544550,10,1.53,3710,0,10%
127364889490544550,6,0.75,2081,2,100%
127364889490544550,1,0.47,663,2,0%
127364889490544550,8,1.58,2744,5,38%
127364889490544550,3,0.89,1568,1,33%
127364889490544550,2,0.64,1520,5,50%
127364889490544550,6,1.50,1548,2,17%
127364889490544550,3,0.92,1766,2,33%
127364889490544550,1,1.05,719,3,0%
127364889490544550,9,0.91,2875,2,22%
127364889490544550,5,1.19,2573,6,60%
127364889490544550,3,0.47,1194,3,0%
127364889490544550,5,0.88,2003,3,0%
127364889490544550,3,1.46,1438,1,33%
127364889490544550,1,0.35,545,3,0%
127364889490544550,1,0.68,391,1,0%
127364889490544550,1,1.18,2110,1,0%
127364889490544550,1,0.65,847,1,0%
127364889490544550,7,1.12,2209,2,14%
127364889490544550,6,0.70,2009,3,33%
127364889490544550,5,1.19,1849,3,40%
127364889490544550,5,0.86,1843,3,0%
127364889490544550,5,1.05,2610,1,40%
127364889490544550,3,0.96,1404,2,33%
127364889490544550,4,1.36,2085,5,0%
127364889490544550,3,1.23,917,3,0%
127364889490544550,1,0.57,1283,3,0%
127364889490544550,3,0.98,1719,2,33%
127364889490544550,1,0.75,790,3,0%
127364889490544550,0,1.26,1599,3,0%
127364889490544550,9,1.16,3076,1,33%
127364889490544550,7,1.71,2995,1,14%
127364889490544550,3,1.51,1073,4,0%
127364889490544550,5,0.60,1209,2,20%
127364889490544550,2,1.08,1740,4,50%
127364889490544550,2,1.15,2020,3,0%
127364889490544550,4,0.99,1426,2,0%
127364889490544550,1,1.01,955,3,0%
127364889490544550,3,1.16,2209,2,33%
127364889490544550,2,0.74,893,3,50%
127364889490544550,1,1.23,904,3,0%
127364889490544550,7,1.09,2381,2,14%
127364889490544550,2,0.94,1025,3,0%
127364889490544550,2,1.33,1227,4,50%
127364889490544550,2,1.53,1293,3,0%
127364889490544550,1,0.42,385,2,0%
127364889490544550,0,0.88,155,4,0%
127364889490544550,5,0.77,2364,1,80%
127364889490544550,3,1.08,1973,2,33%
127364889490544550,1,1.05,910,3,100%
127364889490544550,5,0.95,1545,2,0%
127364889490544550,2,0.97,617,2,0%
127364889490544550,1,0.85,332,2,0%
127364889490544550,1,1.21,127,2,100%
127364889490544550,1,0.78,903,2,100%
127364889490544550,6,0.82,1753,2,0%
127364889490544550,3,1.03,882,2,33%
127364889490544550,3,1.67,1890,2,33%
127364889490544550,1,0.64,529,2,0%
127364889490544550,1,0.92,726,2,0%
