gameid,avg_kd,sum_likelihood
8056731365612068872,0.9492262429988801,147,0.045632747052506466
4323791132923863897,0.9829316703015861,77,0.28755710534780365
8519739715641991072,0.5721380418107674,69,2.7753716681103092e-21
4375700036043336324,0.8957665278534942,29,0.08373182527804
15984301450416808397,0.7738774978202926,128,8.312228248155356e-11
14411319440717090701,0.9686837740304693,145,0.12253246643761957
6935830360824552692,1.0697303579529585,143,0.898977873528188
9130849122121348417,1.1802983027663243,151,0.9908426291937233
17248239561164700000,1.1771128008517238,146,0.9910791214389866
8589967989678399101,0.9378554200700282,146,0.02334370597777391
14047658280467334009,0.9621351161421278,145,0.09143512821382031
16842671575443129890,1.1156815902595743,145,0.981804308644549
10247742983344598470,1.1842646653174664,144,0.9912564783065719
17612293924106879297,0.9836300171697291,145,0.21974537211692052
1285768317065399005,1.3504860733223212,137,0.99178274154098
15714696568937177946,0.7287433848935131,39,1.0172078025593643e-05
16096295678713634371,0.8115288591918777,88,5.907891039276389e-06
8125052215946363545,1.031896051938552,144,0.6639932896174888
8856360759246075519,1.1994572901376501,145,0.9912723033211362
459797218960936327,1.049092042758613,40,0.6856517668064577
7016658485038767823,1.136083601488688,39,0.9311420951467291
597220800472939426,1.1744926258402528,40,0.9706088030050319
699982889311003806,0.9565957907860912,40,0.22606179875374466
3965503779632705689,0.7959680821029921,146,4.327325624338019e-10
11215785048400621932,0.8656351037348959,140,3.938353023942945e-05
9760950822367588492,1.0624300690821884,148,0.8718456965755303
15964055337131803209,1.6331337802596813,146,0.991245291510113
3833173262039588954,1.2041164518973932,152,0.9908720120031447
15482122529361173778,1.1769845753543349,35,0.9650657229169282
15514431232853147846,1.0278560854666374,39,0.5846811472884988
16062440306005633808,1.1663465511748172,39,0.9633488035186288
3415205556380645728,1.2085419261385528,148,0.9911125408123092
8721895495370358409,1.054250375776787,142,0.8250311258008138
13524888866718933728,0.9677050233174787,143,0.11918086013423944
16999712013734600121,0.8848366553103194,141,0.00032268895016118406
7676466718696670022,1.2293937280314782,144,0.9913614854994776
3348207807306954613,1.095976849128019,40,0.8530502600595744
9007092953117718116,1.023300041176724,140,0.5847494750796023
6628058689787648237,1.1299771236246763,145,0.9872110279558618
10348271017561098652,0.8113371143016789,38,0.0020414006564499045
16907548676439652852,0.7649418424667257,133,5.890762707342775e-12
6140450483883910752,0.936117273157758,145,0.021204867687750758
4864589756606113604,0.7096836466489123,135,5.575961971948132e-18
11676288400194395198,0.8905896572570987,140,0.0005993796533981939
16821352884717757487,0.9430184687499757,145,0.03273115483998438
14251463189440368110,1.1163888437673668,142,0.9817538420256962
3331333375913889700,1.3165247229808248,147,0.9911855917743775
8296091098645092830,1.1413148673972466,146,0.989278136700299
12430230711436666653,0.9925302612707286,141,0.29501430507114423
13068373438267416716,1.2277889245704026,148,0.9911231350908266
3777603528651829772,1.2568094506586989,145,0.9913046995849867
266402054240702932,0.9228038049836952,140,0.009328682684167502
9604776257671526950,1.1154145729515395,149,0.9821848315031526
10444699578466938358,1.2215139885529251,140,0.991595561681318
679941837125680588,0.8672637857182908,147,3.2161770653475096e-05
15224654723483883473,1.0752215049926506,144,0.9186837648013488
7207511931424514938,1.010990521869183,142,0.4674481234349289
13470410023368394108,1.1318588636988884,151,0.9878286984288763
14320269200382618140,0.985060310539175,129,0.24414203294955633
3697601591814669186,1.016647784201267,144,0.5225505880399701
10093403117490007466,1.3121358362941193,129,0.9922607061262673
15009998195912350072,0.9043519842340073,146,0.001756031796674901
16200283187078738718,1.1120598635030021,144,0.979511443158901
12514977116304009192,1.0723576290689292,148,0.9118130544001791
12678870185289302480,1.2418935225366061,146,0.9912443186652943
14251429657908239699,0.9736353006340426,29,0.33664102946588614
6747322900482312229,1.2036048718928036,148,0.9911060726583857
6850612352614813609,0.7051003574246492,146,6.826349041184086e-20
8273268049246868538,0.7383390703853869,140,3.1796856019101243e-15
7810675910624202513,0.8379182689719818,146,6.113434868339862e-07
16444502672966189813,0.8405034047248355,140,1.4802827132690415e-06
10891372612451036344,0.8264876645221242,144,1.2382609760912727e-07
9640920591704448872,0.7560007042427751,139,2.6693800952080814e-13
7475698626923364872,1.141790552010372,146,0.9893506330904981
5326180857668871353,0.9749578937346265,145,0.1593207088737674
14629233013900845238,0.9767212468694331,143,0.1723004035859159
6422608542887311698,0.9186730354246719,39,0.10064188353284051
1857185113790844854,0.9616550229770939,85,0.15429859722544031
5963400776520514424,0.8081243483254638,72,2.750396502283005e-05
6399538266133538760,1.0108903442692037,40,0.49628729177237213
5224937024714938693,1.075268313202648,148,0.9210815860576265
14791060550061032977,1.0351615475139073,143,0.6914026878076437
10031292253569498499,0.6451174778462634,121,2.816048259688848e-24
